year,city,country,avg_temp
1796,Kanpur,India,24.59
1797,Kanpur,India,26.21
1798,Kanpur,India,23.82
1799,Kanpur,India,24.85
1800,Kanpur,India,24.79
1801,Kanpur,India,23.74
1802,Kanpur,India,25.23
1803,Kanpur,India,24.98
1804,Kanpur,India,25.30
1805,Kanpur,India,24.89
1806,Kanpur,India,24.80
1807,Kanpur,India,24.39
1808,Kanpur,India,
1809,Kanpur,India,
1810,Kanpur,India,
1811,Kanpur,India,
1812,Kanpur,India,
1813,Kanpur,India,24.14
1814,Kanpur,India,23.32
1815,Kanpur,India,23.67
1816,Kanpur,India,23.33
1817,Kanpur,India,23.45
1818,Kanpur,India,23.80
1819,Kanpur,India,23.44
1820,Kanpur,India,23.67
1821,Kanpur,India,24.43
1822,Kanpur,India,24.55
1823,Kanpur,India,24.29
1824,Kanpur,India,24.89
1825,Kanpur,India,24.69
1826,Kanpur,India,24.71
1827,Kanpur,India,24.90
1828,Kanpur,India,24.49
1829,Kanpur,India,24.30
1830,Kanpur,India,24.61
1831,Kanpur,India,24.05
1832,Kanpur,India,24.30
1833,Kanpur,India,24.44
1834,Kanpur,India,24.36
1835,Kanpur,India,23.43
1836,Kanpur,India,24.17
1837,Kanpur,India,24.06
1838,Kanpur,India,24.03
1839,Kanpur,India,24.10
1840,Kanpur,India,24.35
1841,Kanpur,India,24.17
1842,Kanpur,India,24.32
1843,Kanpur,India,24.30
1844,Kanpur,India,23.93
1845,Kanpur,India,24.19
1846,Kanpur,India,24.65
1847,Kanpur,India,24.18
1848,Kanpur,India,24.03
1849,Kanpur,India,24.05
1850,Kanpur,India,24.44
1851,Kanpur,India,24.37
1852,Kanpur,India,24.19
1853,Kanpur,India,24.53
1854,Kanpur,India,24.63
1855,Kanpur,India,24.76
1856,Kanpur,India,23.45
1857,Kanpur,India,23.86
1858,Kanpur,India,
1859,Kanpur,India,
1860,Kanpur,India,
1861,Kanpur,India,
1862,Kanpur,India,
1863,Kanpur,India,
1864,Kanpur,India,
1865,Kanpur,India,26.76
1866,Kanpur,India,24.65
1867,Kanpur,India,24.75
1868,Kanpur,India,24.43
1869,Kanpur,India,24.57
1870,Kanpur,India,24.44
1871,Kanpur,India,24.51
1872,Kanpur,India,24.52
1873,Kanpur,India,24.62
1874,Kanpur,India,24.53
1875,Kanpur,India,24.84
1876,Kanpur,India,24.67
1877,Kanpur,India,24.83
1878,Kanpur,India,24.94
1879,Kanpur,India,24.43
1880,Kanpur,India,24.79
1881,Kanpur,India,24.44
1882,Kanpur,India,24.39
1883,Kanpur,India,24.35
1884,Kanpur,India,24.21
1885,Kanpur,India,24.11
1886,Kanpur,India,24.44
1887,Kanpur,India,24.31
1888,Kanpur,India,24.52
1889,Kanpur,India,24.90
1890,Kanpur,India,24.53
1891,Kanpur,India,24.30
1892,Kanpur,India,25.06
1893,Kanpur,India,23.53
1894,Kanpur,India,24.54
1895,Kanpur,India,24.68
1896,Kanpur,India,25.57
1897,Kanpur,India,25.32
1898,Kanpur,India,24.94
1899,Kanpur,India,25.02
1900,Kanpur,India,25.14
1901,Kanpur,India,25.02
1902,Kanpur,India,25.17
1903,Kanpur,India,24.82
1904,Kanpur,India,24.56
1905,Kanpur,India,24.13
1906,Kanpur,India,24.79
1907,Kanpur,India,24.68
1908,Kanpur,India,24.93
1909,Kanpur,India,24.52
1910,Kanpur,India,24.47
1911,Kanpur,India,24.79
1912,Kanpur,India,24.71
1913,Kanpur,India,24.51
1914,Kanpur,India,24.77
1915,Kanpur,India,25.06
1916,Kanpur,India,24.58
1917,Kanpur,India,23.60
1918,Kanpur,India,24.72
1919,Kanpur,India,24.48
1920,Kanpur,India,24.76
1921,Kanpur,India,25.35
1922,Kanpur,India,24.74
1923,Kanpur,India,25.00
1924,Kanpur,India,24.94
1925,Kanpur,India,24.40
1926,Kanpur,India,24.58
1927,Kanpur,India,24.60
1928,Kanpur,India,25.28
1929,Kanpur,India,24.99
1930,Kanpur,India,24.91
1931,Kanpur,India,25.36
1932,Kanpur,India,25.21
1933,Kanpur,India,24.28
1934,Kanpur,India,24.64
1935,Kanpur,India,24.60
1936,Kanpur,India,24.33
1937,Kanpur,India,24.32
1938,Kanpur,India,24.71
1939,Kanpur,India,24.75
1940,Kanpur,India,24.65
1941,Kanpur,India,25.67
1942,Kanpur,India,25.09
1943,Kanpur,India,24.94
1944,Kanpur,India,24.59
1945,Kanpur,India,24.41
1946,Kanpur,India,24.95
1947,Kanpur,India,25.21
1948,Kanpur,India,25.02
1949,Kanpur,India,25.00
1950,Kanpur,India,24.43
1951,Kanpur,India,25.12
1952,Kanpur,India,25.31
1953,Kanpur,India,25.54
1954,Kanpur,India,25.15
1955,Kanpur,India,24.70
1956,Kanpur,India,24.75
1957,Kanpur,India,24.66
1958,Kanpur,India,25.74
1959,Kanpur,India,25.30
1960,Kanpur,India,25.23
1961,Kanpur,India,24.53
1962,Kanpur,India,24.82
1963,Kanpur,India,24.90
1964,Kanpur,India,24.98
1965,Kanpur,India,24.98
1966,Kanpur,India,25.58
1967,Kanpur,India,24.77
1968,Kanpur,India,24.64
1969,Kanpur,India,25.43
1970,Kanpur,India,24.93
1971,Kanpur,India,24.09
1972,Kanpur,India,25.06
1973,Kanpur,India,25.23
1974,Kanpur,India,25.14
1975,Kanpur,India,24.82
1976,Kanpur,India,25.05
1977,Kanpur,India,25.15
1978,Kanpur,India,24.66
1979,Kanpur,India,25.51
1980,Kanpur,India,25.31
1981,Kanpur,India,25.05
1982,Kanpur,India,24.92
1983,Kanpur,India,24.43
1984,Kanpur,India,25.00
1985,Kanpur,India,25.44
1986,Kanpur,India,25.00
1987,Kanpur,India,25.82
1988,Kanpur,India,25.60
1989,Kanpur,India,24.95
1990,Kanpur,India,25.12
1991,Kanpur,India,25.32
1992,Kanpur,India,25.27
1993,Kanpur,India,25.27
1994,Kanpur,India,25.33
1995,Kanpur,India,25.55
1996,Kanpur,India,25.31
1997,Kanpur,India,24.71
1998,Kanpur,India,25.46
1999,Kanpur,India,25.78
2000,Kanpur,India,25.35
2001,Kanpur,India,25.33
2002,Kanpur,India,26.12
2003,Kanpur,India,25.41
2004,Kanpur,India,25.59
2005,Kanpur,India,25.62
2006,Kanpur,India,25.85
2007,Kanpur,India,25.44
2008,Kanpur,India,25.11
2009,Kanpur,India,25.99
2010,Kanpur,India,26.02
2011,Kanpur,India,25.06
2012,Kanpur,India,25.45
2013,Kanpur,India,26.12
